"","CountryCode","Ranking","CountryName","GDP"
"5","USA",1,"United States"," 16,244,600 "
"6","CHN",2,"China"," 8,227,103 "
"7","JPN",3,"Japan"," 5,959,718 "
"8","DEU",4,"Germany"," 3,428,131 "
"9","FRA",5,"France"," 2,612,878 "
"10","GBR",6,"United Kingdom"," 2,471,784 "
"11","BRA",7,"Brazil"," 2,252,664 "
"12","RUS",8,"Russian Federation"," 2,014,775 "
"13","ITA",9,"Italy"," 2,014,670 "
"14","IND",10,"India"," 1,841,710 "
"15","CAN",11,"Canada"," 1,821,424 "
"16","AUS",12,"Australia"," 1,532,408 "
"17","ESP",13,"Spain"," 1,322,965 "
"18","MEX",14,"Mexico"," 1,178,126 "
"19","KOR",15,"Korea, Rep."," 1,129,598 "
"20","IDN",16,"Indonesia"," 878,043 "
"21","TUR",17,"Turkey"," 789,257 "
"22","NLD",18,"Netherlands"," 770,555 "
"23","SAU",19,"Saudi Arabia"," 711,050 "
"24","CHE",20,"Switzerland"," 631,173 "
"25","SWE",21,"Sweden"," 523,806 "
"26","IRN",22,"Iran, Islamic Rep."," 514,060 "
"27","NOR",23,"Norway"," 499,667 "
"28","POL",24,"Poland"," 489,795 "
"29","BEL",25,"Belgium"," 483,262 "
"30","ARG",26,"Argentina"," 475,502 "
"31","AUT",27,"Austria"," 394,708 "
"32","ZAF",28,"South Africa"," 384,313 "
"33","VEN",29,"Venezuela, RB"," 381,286 "
"34","COL",30,"Colombia"," 369,606 "
"35","THA",31,"Thailand"," 365,966 "
"36","ARE",32,"United Arab Emirates"," 348,595 "
"37","DNK",33,"Denmark"," 314,887 "
"38","MYS",34,"Malaysia"," 305,033 "
"39","SGP",35,"Singapore"," 274,701 "
"40","CHL",36,"Chile"," 269,869 "
"41","HKG",37,"Hong Kong SAR, China"," 263,259 "
"42","EGY",38,"Egypt, Arab Rep."," 262,832 "
"43","NGA",39,"Nigeria"," 262,597 "
"44","ISR",40,"Israel"," 258,217 "
"45","PHL",41,"Philippines"," 250,182 "
"46","GRC",42,"Greece"," 249,099 "
"47","FIN",43,"Finland"," 247,546 "
"48","PAK",44,"Pakistan"," 225,143 "
"49","PRT",45,"Portugal"," 212,274 "
"50","IRL",46,"Ireland"," 210,771 "
"51","IRQ",47,"Iraq"," 210,280 "
"52","DZA",48,"Algeria"," 205,789 "
"53","PER",49,"Peru"," 203,790 "
"54","KAZ",50,"Kazakhstan"," 203,521 "
"55","CZE",51,"Czech Republic"," 196,446 "
"56","ROM",52,"Romania"," 192,711 "
"57","UKR",53,"Ukraine"," 176,309 "
"58","QAT",54,"Qatar"," 171,476 "
"59","NZL",55,"New Zealand"," 167,347 "
"60","KWT",56,"Kuwait"," 160,913 "
"61","VNM",57,"Vietnam"," 155,820 "
"62","HUN",58,"Hungary"," 124,600 "
"63","BGD",59,"Bangladesh"," 116,355 "
"64","AGO",60,"Angola"," 114,147 "
"65","PRI",61,"Puerto Rico"," 101,496 "
"66","MAR",62,"Morocco"," 95,982 "
"67","SVK",63,"Slovak Republic"," 91,149 "
"68","ECU",64,"Ecuador"," 84,040 "
"69","SYR",65,"Syrian Arab Republic"," 73,672 "
"70","OMN",66,"Oman"," 69,972 "
"71","CUB",67,"Cuba"," 68,234 "
"72","AZE",68,"Azerbaijan"," 66,605 "
"73","BLR",69,"Belarus"," 63,267 "
"74","LKA",70,"Sri Lanka"," 59,423 "
"75","HRV",71,"Croatia"," 59,228 "
"76","DOM",72,"Dominican Republic"," 59,047 "
"77","SDN",73,"Sudan"," 58,769 "
"78","LUX",74,"Luxembourg"," 55,178 "
"79","UZB",75,"Uzbekistan"," 51,113 "
"80","BGR",76,"Bulgaria"," 50,972 "
"81","GTM",77,"Guatemala"," 50,234 "
"82","URY",78,"Uruguay"," 49,920 "
"83","TUN",79,"Tunisia"," 45,662 "
"84","SVN",80,"Slovenia"," 45,279 "
"85","CRI",81,"Costa Rica"," 45,104 "
"86","MAC",82,"Macao SAR, China"," 43,582 "
"87","LBN",83,"Lebanon"," 42,945 "
"88","LTU",84,"Lithuania"," 42,344 "
"89","ETH",85,"Ethiopia"," 41,605 "
"90","GHA",86,"Ghana"," 40,711 "
"91","KEN",87,"Kenya"," 40,697 "
"92","SRB",88,"Serbia"," 37,489 "
"93","PAN",89,"Panama"," 36,253 "
"94","YEM",90,"Yemen, Rep."," 35,646 "
"95","TKM",91,"Turkmenistan"," 35,164 "
"96","JOR",92,"Jordan"," 31,015 "
"97","BHR",93,"Bahrain"," 29,044 "
"98","LVA",94,"Latvia"," 28,373 "
"99","TZA",95,"Tanzania"," 28,242 "
"100","BOL",96,"Bolivia"," 27,035 "
"101","PRY",97,"Paraguay"," 25,502 "
"102","CMR",98,"Cameroon"," 25,322 "
"103","CIV",99,"Côte d'Ivoire"," 24,680 "
"104","SLV",100,"El Salvador"," 23,864 "
"105","TTO",101,"Trinidad and Tobago"," 23,320 "
"106","CYP",102,"Cyprus"," 22,767 "
"107","EST",103,"Estonia"," 22,390 "
"108","ZMB",104,"Zambia"," 20,678 "
"109","AFG",105,"Afghanistan"," 20,497 "
"110","UGA",106,"Uganda"," 19,881 "
"111","NPL",107,"Nepal"," 18,963 "
"112","HND",108,"Honduras"," 18,434 "
"113","GAB",109,"Gabon"," 18,377 "
"114","GNQ",110,"Equatorial Guinea"," 17,697 "
"115","BIH",111,"Bosnia and Herzegovina"," 17,466 "
"116","ZAR",112,"Congo, Dem. Rep."," 17,204 "
"117","BRN",113,"Brunei Darussalam"," 16,954 "
"118","GEO",114,"Georgia"," 15,747 "
"119","PNG",115,"Papua New Guinea"," 15,654 "
"120","JAM",116,"Jamaica"," 14,755 "
"121","BWA",117,"Botswana"," 14,504 "
"122","MOZ",118,"Mozambique"," 14,244 "
"123","SEN",119,"Senegal"," 14,046 "
"124","KHM",120,"Cambodia"," 14,038 "
"125","COG",121,"Congo, Rep."," 13,678 "
"126","ISL",122,"Iceland"," 13,579 "
"127","NAM",123,"Namibia"," 13,072 "
"128","TCD",124,"Chad"," 12,887 "
"129","ALB",125,"Albania"," 12,648 "
"130","NIC",126,"Nicaragua"," 10,507 "
"131","MUS",127,"Mauritius"," 10,486 "
"132","BFA",128,"Burkina Faso"," 10,441 "
"133","MLI",129,"Mali"," 10,308 "
"134","MNG",130,"Mongolia"," 10,271 "
"135","SSD",131,"South Sudan"," 10,220 "
"136","MDG",132,"Madagascar"," 9,975 "
"137","ARM",133,"Armenia"," 9,951 "
"138","ZWE",134,"Zimbabwe"," 9,802 "
"139","MKD",135,"Macedonia, FYR"," 9,613 "
"140","LAO",136,"Lao PDR"," 9,418 "
"141","MLT",137,"Malta"," 8,722 "
"142","BHS",138,"Bahamas, The"," 8,149 "
"143","HTI",139,"Haiti"," 7,843 "
"144","BEN",140,"Benin"," 7,557 "
"145","MDA",141,"Moldova"," 7,253 "
"146","RWA",142,"Rwanda"," 7,103 "
"147","TJK",143,"Tajikistan"," 6,972 "
"148","NER",144,"Niger"," 6,773 "
"149","KGZ",145,"Kyrgyz Republic"," 6,475 "
"150","KSV",146,"Kosovo"," 6,445 "
"151","MCO",147,"Monaco"," 6,075 "
"152","GIN",148,"Guinea"," 5,632 "
"153","BMU",149,"Bermuda"," 5,474 "
"154","SUR",150,"Suriname"," 5,012 "
"155","MNE",151,"Montenegro"," 4,373 "
"156","MWI",152,"Malawi"," 4,264 "
"157","BRB",153,"Barbados"," 4,225 "
"158","MRT",154,"Mauritania"," 4,199 "
"159","FJI",155,"Fiji"," 3,908 "
"160","TGO",156,"Togo"," 3,814 "
"161","SLE",157,"Sierra Leone"," 3,796 "
"162","SWZ",158,"Swaziland"," 3,744 "
"163","ERI",159,"Eritrea"," 3,092 "
"164","GUY",160,"Guyana"," 2,851 "
"165","ABW",161,"Aruba"," 2,584 "
"166","BDI",162,"Burundi"," 2,472 "
"167","LSO",163,"Lesotho"," 2,448 "
"168","MDV",164,"Maldives"," 2,222 "
"169","CAF",165,"Central African Republic"," 2,184 "
"170","CPV",166,"Cape Verde"," 1,827 "
"171","BTN",167,"Bhutan"," 1,780 "
"172","LBR",168,"Liberia"," 1,734 "
"173","BLZ",169,"Belize"," 1,493 "
"174","TMP",170,"Timor-Leste"," 1,293 "
"175","LCA",171,"St. Lucia"," 1,239 "
"176","ATG",172,"Antigua and Barbuda"," 1,134 "
"177","SYC",173,"Seychelles"," 1,129 "
"178","SLB",174,"Solomon Islands"," 1,008 "
"179","GMB",175,"Gambia, The"," 917 "
"180","GNB",176,"Guinea-Bissau"," 822 "
"181","VUT",177,"Vanuatu"," 787 "
"182","GRD",178,"Grenada"," 767 "
"183","KNA",178,"St. Kitts and Nevis"," 767 "
"184","VCT",180,"St. Vincent and the Grenadines"," 713 "
"185","WSM",181,"Samoa"," 684 "
"186","COM",182,"Comoros"," 596 "
"187","DMA",183,"Dominica"," 480 "
"188","TON",184,"Tonga"," 472 "
"189","FSM",185,"Micronesia, Fed. Sts."," 326 "
"190","STP",186,"São Tomé and Principe"," 263 "
"191","PLW",187,"Palau"," 228 "
"192","MHL",188,"Marshall Islands"," 182 "
"193","KIR",189,"Kiribati"," 175 "
"194","TUV",190,"Tuvalu"," 40 "
